Ma_TSN,Ten_TSN,type,Ma_toa_cha,Ten_toa_cha,Ma_SSN,Ten_SSN,Tinh
D01,"Tòa án nhân dân tối cao",OLD,NULL,NULL,D01,"Tòa án nhân dân tối cao","Thành phố Hà Nội"
D01.20,"Tòa án nhân dân cấp cao tại Hà Nội",OLD,D01,"Tòa án nhân dân tối cao",D01.100,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Hà Nội","Thành phố Hà Nội"
D01.21,"Tòa án nhân dân cấp cao tại Đà Nẵng",OLD,D01,"Tòa án nhân dân tối cao",D01.101,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Đà Nẵng","Thành phố Đà Nẵng"
D01.22,"Tòa án nhân dân cấp cao tại Thành phố Hồ Chí Minh",OLD,D01,"Tòa án nhân dân tối cao",D01.102,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Thành phố Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.26,"Tòa án nhân dân tỉnh An Giang",OLD,NULL,NULL,D01.120,"Tòa án nhân dân tỉnh An Giang","Tỉnh An Giang"
D01.27,"Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu",OLD,NULL,NULL,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh","Tỉnh Bà Rịa - Vũng Tàu"
D01.28,"Tòa án nhân dân tỉnh Bắc Giang",OLD,NULL,NULL,D01.121,"Tòa án nhân dân tỉnh Bắc Ninh","Tỉnh Bắc Giang"
D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",OLD,NULL,NULL,D01.150,"Tòa án nhân dân tỉnh Thái Nguyên","Tỉnh Bắc Kạn"
D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",OLD,NULL,NULL,D01.122,"Tòa án nhân dân tỉnh Cà Mau","Tỉnh Bạc Liêu"
D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",OLD,NULL,NULL,D01.121,"Tòa án nhân dân tỉnh Bắc Ninh","Tỉnh Bắc Ninh"
D01.32,"Tòa án nhân dân tỉnh Bến Tre",OLD,NULL,NULL,D01.153,"Tòa án nhân dân tỉnh Vĩnh Long","Tỉnh Bến Tre"
D01.33,"Tòa án nhân dân tỉnh Bình Dương",OLD,NULL,NULL,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh","Tỉnh Bình Dương"
D01.34,"Tòa án nhân dân tỉnh Bình Định",OLD,NULL,NULL,D01.130,"Tòa án nhân dân tỉnh Gia Lai","Tỉnh Bình Định"
D01.35,"Tòa án nhân dân tỉnh Bình Phước",OLD,NULL,NULL,D01.128,"Tòa án nhân dân tỉnh Đồng Nai","Tỉnh Bình Phước"
D01.36,"Tòa án nhân dân tỉnh Bình Thuận",OLD,NULL,NULL,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng","Tỉnh Bình Thuận"
D01.37,"Tòa án nhân dân tỉnh Cà Mau",OLD,NULL,NULL,D01.122,"Tòa án nhân dân tỉnh Cà Mau","Tỉnh Cà Mau"
D01.38,"Tòa án nhân dân Thành phố Cần Thơ",OLD,NULL,NULL,D01.124,"Tòa án nhân dân Thành phố Cần Thơ","Thành phố Cần Thơ"
D01.39,"Tòa án nhân dân tỉnh Cao Bằng",OLD,NULL,NULL,D01.123,"Tòa án nhân dân tỉnh Cao Bằng","Tỉnh Cao Bằng"
D01.40,"Tòa án nhân dân Thành phố Đà Nẵng",OLD,NULL,NULL,D01.125,"Tòa án nhân dân Thành phố Đà Nẵng","Thành phố Đà Nẵng"
D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",OLD,NULL,NULL,D01.126,"Tòa án nhân dân tỉnh Đắk Lắk","Tỉnh Đắk Lắk"
D01.42,"Tòa án nhân dân tỉnh Đắk Nông",OLD,NULL,NULL,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng","Tỉnh Đắk Nông"
D01.43,"Tòa án nhân dân tỉnh Điện Biên",OLD,NULL,NULL,D01.127,"Tòa án nhân dân tỉnh Điện Biên","Tỉnh Điện Biên"
D01.44,"Tòa án nhân dân tỉnh Đồng Nai",OLD,NULL,NULL,D01.128,"Tòa án nhân dân tỉnh Đồng Nai","Tỉnh Đồng Nai"
D01.45,"Tòa án nhân dân tỉnh Đồng Tháp",OLD,NULL,NULL,D01.129,"Tòa án nhân dân tỉnh Đồng Tháp","Tỉnh Đồng Tháp"
D01.46,"Tòa án nhân dân tỉnh Gia Lai",OLD,NULL,NULL,D01.130,"Tòa án nhân dân tỉnh Gia Lai","Tỉnh Gia Lai"
D01.47,"Tòa án nhân dân tỉnh Hà Giang",OLD,NULL,NULL,D01.152,"Tòa án nhân dân tỉnh Tuyên Quang","Tỉnh Hà Giang"
D01.48,"Tòa án nhân dân tỉnh Hà Nam",OLD,NULL,NULL,D01.143,"Tòa án nhân dân tỉnh Ninh Bình","Tỉnh Hà Nam"
D01.49,"Tòa án nhân dân Thành phố Hà Nội",OLD,NULL,NULL,D01.131,"Tòa án nhân dân Thành phố Hà Nội","Thành phố Hà Nội"
D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",OLD,NULL,NULL,D01.132,"Tòa án nhân dân tỉnh Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.51,"Tòa án nhân dân tỉnh Hải Dương",OLD,NULL,NULL,D01.133,"Tòa án nhân dân thành phố Hải Phòng","Tỉnh Hải Dương"
D01.52,"Tòa án nhân dân Thành phố Hải Phòng",OLD,NULL,NULL,D01.133,"Tòa án nhân dân Thành phố Hải Phòng","Thành phố Hải Phòng"
D01.53,"Tòa án nhân dân tỉnh Hậu Giang",OLD,NULL,NULL,D01.124,"Tòa án nhân dân thành phố Cần Thơ","Tỉnh Hậu Giang"
D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",OLD,NULL,NULL,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh","Thành phố Hồ Chí Minh"
